日付,競馬場,レース名,クラス,距離,出走頭数,馬名,馬番,予想順位,予想スコア,単勝オッズ,市場人気,実着順,前走重賞近差,前々走重賞近差,前走3F最速,同コース実績,調教A評価,叩き2戦目,近走上昇傾向,距離短縮,前走好走,前々走好走,グレード実績(3-4走前),血統距離適性,初馬場種別,距離延長,昇級初戦,特殊条件,前走ローカル,長期休養明け,枠番補正,内枠先行,軽量馬加点,複勝安定ボーナス,急坂好走なし,馬体重変動,回り不適,季節×性別,道悪適性
2026年1月25日,京都,プロキオンS,重賞,1800m,16,ロードクロンヌ,13,4,9.0,4.4,1,1,0,0.0,0,0,2,0,0.0,1.0,1.0,0.0,1.5,0.5,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,0,0,0,0.0
2026年1月25日,京都,プロキオンS,重賞,1800m,16,ハピ,14,5,7.5,16.2,9,6,0,0.0,0,4,1,1,0.0,0.0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,京都,プロキオンS,重賞,1800m,16,ジェイパームス,10,6,7.5,5.5,2,7,0,0.0,4,0,2,0,0.0,0.0,2.0,0.0,0.0,0.5,0,-1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,京都,プロキオンS,重賞,1800m,16,サイモンザナドゥ,2,7,7.5,6.7,4,9,0,0.0,0,0,2,0,0.0,0.0,1.0,0.5,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,0,0,0,0.0
2026年1月25日,京都,プロキオンS,重賞,1800m,16,クラウンプライド,6,8,7.0,49.7,13,15,0,0.0,0,0,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,京都,プロキオンS,重賞,1800m,16,ブライアンセンス,9,9,5.0,5.5,3,4,0,0.0,0,0,3,0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,京都,プロキオンS,重賞,1800m,16,テーオーパスワード,7,10,5.0,11.0,5,10,0,0.0,0,0,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,京都,プロキオンS,重賞,1800m,16,セラフィックコール,15,11,4.0,11.8,7,5,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,京都,プロキオンS,重賞,1800m,16,マーブルロック,3,12,4.0,241.3,15,11,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,京都,プロキオンS,重賞,1800m,16,テーオードレフォン,4,13,3.0,131.0,14,14,0,0.0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,京都,プロキオンS,重賞,1800m,16,マリオロード,8,14,2.5,249.9,16,16,0,0.0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,-0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,京都,プロキオンS,重賞,1800m,16,サンデーファンデー,16,15,2.0,43.4,11,2,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,京都,プロキオンS,重賞,1800m,16,ペイシャエス,11,16,-1.0,45.2,12,8,0,0.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-3,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,マナエトレ,9,1,8.0,3.8,2,15,0,0.0,0,0,2,0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,マテンロウブレイブ,7,2,6.5,3.4,1,5,0,0.0,0,0,2,0,0.0,0.0,2.0,0.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,ロイガヴェーグル,6,3,5.5,34.4,9,10,0,0.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,3.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,タイセイマンボ,16,4,5.0,7.5,4,6,0,0.0,0,0,2,1,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,ワンダーカモン,5,5,4.0,67.2,10,8,0,0.0,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,パフ,3,6,3.5,6.6,3,3,0,0.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,-2.0,3.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,ライフゲート,8,7,3.0,10.8,6,4,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,アベベ,12,8,3.0,218.2,13,14,0,0.0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,ストリンジェンド,14,9,2.5,94.6,11,9,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,グランキングオー,10,10,2.0,14.8,7,13,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,アースイオス,13,11,1.5,147.5,12,16,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,-2,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,アイウィル,1,12,1.0,8.5,5,1,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-2.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,プレイテシア,11,13,1.0,239.5,14,7,0,0.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,キングロコマイカイ,15,14,0.5,276.9,16,11,0,0.0,0,0,2,1,0.0,1.0,0.0,0.0,0.0,0.5,0,0,0,0,-2,-2,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,クリノラピダス,2,15,0.0,242.1,15,12,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,-2.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月25日,小倉,響灘特別,2勝クラス,1700m,16,ギマール,4,16,-1.0,16.4,8,2,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-2.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,モーニングマジック,8,1,10.0,5.3,4,4,0,0.0,0,4,2,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,0,0,-1,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,サトノアルペジオ,12,2,9.5,115.3,11,11,0,0.0,0,4,1,1,0.0,0.0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,0,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,レッドアレグロ,9,3,9.0,5.3,3,6,0,0.0,0,2,2,1,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,0,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,アスクアイルビゼア,6,4,7.5,5.7,5,2,0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,-0.5,0,0,0,0,0,0,0.0,3.0,0.0,3.0,0,0,0,0,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,フィーチャリング,11,5,7.0,19.1,6,8,0,0.0,0,4,1,0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,ゴールデンカイト,14,6,6.0,3.8,1,5,0,0.0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,0,0,0,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,ネイビースター,2,7,5.5,31.0,8,15,0,0.0,0,0,3,1,0.0,1.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,-2.0,3.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,ペイシャケイプ,10,8,5.0,4.1,2,1,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,0,0,0,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,ジューンポンポン,15,9,5.0,83.2,10,12,0,0.0,4,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,モナコブル,1,10,4.0,257.7,15,10,0,0.0,0,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-2.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,シュヴァルツリーベ,7,11,3.0,134.8,12,9,0,0.0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,ニシノスピカ,16,12,3.0,161.2,14,14,0,0.0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,タマモヴェナトル,5,13,2.0,136.8,13,7,0,0.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,フラーハ,4,14,2.0,37.0,9,13,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-2.0,3.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,東京,4歳以上2勝クラス,2勝クラス,1400m,15,セントラルヴァレー,3,15,0.0,24.9,7,3,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-2.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,ポッドドンナー,11,1,11.0,3.7,1,7,0,0.0,0,4,3,0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,0,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,メイケイレイン,7,2,10.0,9.9,6,2,0,0.0,0,4,2,0,0.0,0.0,2.0,0.5,0.0,-0.5,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,0,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,ユウトザレン,4,3,9.0,6.2,4,4,0,0.0,0,4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,0,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,アレ,13,4,9.0,7.1,5,10,0,0.0,0,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,0,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,ルークススペイ,2,5,6.0,4.8,3,3,0,0.0,0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,-2.0,3.0,0.0,2.0,0,0,0,0,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,ハクサンアイリス,10,6,5.0,4.4,2,1,0,0.0,0,0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,0,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,プリンスノット,9,7,4.0,83.3,10,6,0,0.0,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,ワイノナオミ,12,8,4.0,15.2,7,13,0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,-1,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,サンガネーブ,3,9,3.0,122.7,12,9,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,トロピカルヒーロー,6,10,3.0,217.2,13,11,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,クリノキングマン,5,11,2.0,27.6,8,5,0,0.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,メモリーグラス,8,12,1.5,122.0,11,8,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,京都,長浜特別,2勝クラス,1400m,13,タイガースパーク,1,13,1.5,58.2,9,12,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,1.0,-0.5,0,0,0,0,0,0,-2.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,ララアヴリル,7,1,9.0,9.8,5,3,0,0.0,0,4,2,1,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,ハニーローリエ,3,2,9.0,4.2,2,6,0,0.0,0,0,2,0,0.0,0.0,2.0,0.5,0.0,-0.5,0,0,0,0,0,0,0.0,3.0,0.0,3.0,0,0,0,-1,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,ミッキーマカパ,6,3,9.0,10.3,6,8,0,0.0,0,0,2,1,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,0,0,0,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,スノーサイレンス,9,4,6.5,3.2,1,1,0,0.0,0,0,3,0,0.0,1.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0,0,0,-1,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,ペイシャヴァルツー,14,5,6.0,15.4,7,14,0,0.0,0,4,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,リクエイ,5,6,4.0,74.0,13,7,0,0.0,0,0,2,1,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,タイセイアレス,11,7,3.0,51.8,12,13,0,0.0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-2,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,ボルセーナ,13,8,2.5,48.0,11,11,0,0.0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,ジョヴィアン,8,9,2.0,9.0,4,2,0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,パールフロント,12,10,2.0,5.9,3,4,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,ミルフルール,1,11,2.0,27.9,8,9,0,0.0,2,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,-2.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,フレッシュラン,10,12,2.0,28.9,10,12,0,0.0,0,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,アネモス,4,13,1.0,28.4,9,5,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,-2,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,有田特別,2勝クラス,1000m,14,タミゼ,2,14,0.5,117.6,14,10,0,0.0,0,0,1,1,0.0,1.0,0.0,1.0,0.0,-0.5,0,0,0,0,0,0,-2.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,ステアハート,5,1,11.0,4.4,2,8,0,0.0,0,0,3,1,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,3.0,0.0,3.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,ステラスプレンダー,6,2,8.5,33.2,8,14,0,0.0,0,0,2,0,0.0,0.0,2.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,3.0,0.0,2.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,エルフストラック,8,3,5.0,5.6,4,5,0,0.0,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,ドゥラリス,16,4,4.5,5.2,3,1,0,0.0,0,0,1,0,0.0,0.0,2.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,レディゴディヴァ,9,5,4.0,56.2,12,7,0,0.0,0,0,2,1,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,ナリタヒカリ,4,6,4.0,45.8,11,9,0,0.0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,-2.0,3.0,0.0,2.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,レーヴドレフォン,10,7,3.0,21.2,6,12,0,0.0,0,0,2,0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,スマートプレシャス,7,8,2.0,35.6,10,4,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,タマモナポリ,3,9,2.0,34.7,9,10,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-2.0,3.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,ブルーペクトライト,15,10,1.5,33.2,7,13,0,0.0,0,0,2,0,0.0,0.0,1.0,0.0,0.0,-0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,プウスカンドゥール,13,11,1.0,207.1,16,2,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,コスモマルーン,12,12,1.0,100.7,14,3,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,ヴィリアリート,11,13,1.0,2.6,1,16,0,0.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,ユウェンタース,14,14,0.0,20.2,5,6,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,サイモンコーラル,1,15,-2.0,96.7,13,15,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-2.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年1月31日,小倉,平尾台特別,2勝クラス,1700m,16,オカメノコイ,2,16,-3.0,101.1,15,11,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-2.0,0.0,0.0,0.0,0,0,0,-1,0.0
2026年2月1日,東京,4歳以上2勝クラス,2勝クラス,2100m,11,ジーティーダーリン,10,1,6.0,2.7,2,1,0,0.0,0,0,2,0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0,0,0,0,0.0
