日付,競馬場,レース名,クラス,距離,出走頭数,馬名,馬番,予想順位,予想スコア,単勝オッズ,市場人気,実着順,前走重賞近差,前々走重賞近差,前走3F最速,同コース実績,調教A評価,叩き2戦目,近走上昇傾向,距離短縮,前走好走,前々走好走,グレード実績(3-4走前),血統距離適性,初馬場種別,距離延長,昇級初戦,特殊条件,前走ローカル,長期休養明け,枠番補正,内枠先行,軽量馬加点,複勝安定ボーナス,騎手ボーナス(重賞),急坂好走なし,馬体重変動,回り不適,季節×性別,道悪適性
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ストレイトアスク,4,1,6.5,13.8,6,14,0,0.0,0,0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,-0.5,3.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ラブリーガール,5,2,4.0,16.6,9,8,0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0.0,3.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,マリーヌ,14,3,4.0,24.2,10,9,0,0.0,0,0,2,1,0.0,1.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ロンドンアームズ,12,4,3.5,7.7,4,10,0,0.0,2,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,メランジェ,1,5,2.5,7.6,3,1,0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ラヴスコール,7,6,2.5,12.3,5,4,0,0.0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ウインレオネッサ,2,7,2.5,102.2,13,13,0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,マーゴットカーラ,3,8,2.0,16.3,8,15,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ユメシバイ,11,9,1.5,6.0,2,3,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ベルサ,13,10,1.5,2.8,1,7,0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,デュアルアップ,6,11,1.5,162.5,15,16,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,0,-1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ルージュナリッシュ,15,12,1.0,14.8,7,6,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ラブカムーン,16,13,1.0,218.9,16,12,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,キタノクニカラ,10,14,0.5,43.0,12,5,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ココボロ,8,15,0.0,126.9,14,11,0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,-3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ルージュベルベット,9,16,-0.5,28.8,11,2,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,マドモアゼルアスク,4,1,11.5,3.8,2,1,0,0.0,4,0,2,0,0.0,1.0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0.5,0.0,0,3.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,ミエノフェアリー,7,2,10.0,3.7,1,8,0,0.0,0,4,2,1,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.5,0.0,0,2.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,サトノシャルレーヌ,9,3,4.0,6.7,3,4,0,0.0,0,0,3,1,0.0,0.0,2.0,0.0,0.0,-0.5,0,0,0,0,0,-3,-0.5,0.0,0,2.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,アンドローゼス,3,4,4.0,11.3,7,11,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,クラウドセイル,10,5,3.5,31.9,9,9,0,0.0,0,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,ケイツークローン,8,6,2.5,9.6,6,6,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,グランツローゼ,11,7,2.0,177.3,12,5,0,0.0,0,0,2,0,0.0,1.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,マイネルアレス,6,8,1.5,6.9,4,2,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,レゼールドラペ,12,9,1.5,68.9,10,7,0,0.0,0,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,ナムラブーニン,5,10,0.5,15.8,8,3,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,スターエンブレム,1,11,0.5,8.6,5,12,0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,-3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,サンピアノソナタ,2,12,-3.5,158.5,11,10,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-3,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,タンテドヴィーヴル,7,1,8.5,1.4,1,1,0,0.0,0,0,2,1,1.0,0.0,2.0,0.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,ボナペティアスク,1,2,7.0,60.4,7,8,0,0.0,2,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,アンビアンス,8,3,4.0,22.8,5,6,0,0.0,0,0,2,0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,-1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,ジェロニモス,6,4,3.0,7.1,3,5,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,サラコスティ,4,5,2.5,3.5,2,2,0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,-1,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,レイデラティエラ,5,6,1.5,19.4,4,3,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,テレプシコーラ,3,7,0.5,25.3,6,7,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,ヴェストラン,2,8,-0.5,145.5,8,4,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,1.0,0.0,-3,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ストレイトアスク,4,1,6.5,13.8,6,14,0,0.0,0,0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,-0.5,3.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ラブリーガール,5,2,4.0,16.6,9,8,0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0.0,3.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,マリーヌ,14,3,4.0,24.2,10,9,0,0.0,0,0,2,1,0.0,1.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ロンドンアームズ,12,4,3.5,7.7,4,10,0,0.0,2,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,メランジェ,1,5,2.5,7.6,3,1,0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ラヴスコール,7,6,2.5,12.3,5,4,0,0.0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ウインレオネッサ,2,7,2.5,102.2,13,13,0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,マーゴットカーラ,3,8,2.0,16.3,8,15,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ユメシバイ,11,9,1.5,6.0,2,3,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ベルサ,13,10,1.5,2.8,1,7,0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,デュアルアップ,6,11,1.5,162.5,15,16,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,0,-1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ルージュナリッシュ,15,12,1.0,14.8,7,6,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ラブカムーン,16,13,1.0,218.9,16,12,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,キタノクニカラ,10,14,0.5,43.0,12,5,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ココボロ,8,15,0.0,126.9,14,11,0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,-3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1400m,16,ルージュベルベット,9,16,-0.5,28.8,11,2,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,マドモアゼルアスク,4,1,11.5,3.8,2,1,0,0.0,4,0,2,0,0.0,1.0,0.0,0.5,0.0,0.5,0,0,0,0,0,0,0.5,0.0,0,3.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,ミエノフェアリー,7,2,10.0,3.7,1,8,0,0.0,0,4,2,1,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.5,0.0,0,2.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,サトノシャルレーヌ,9,3,4.0,6.7,3,4,0,0.0,0,0,3,1,0.0,0.0,2.0,0.0,0.0,-0.5,0,0,0,0,0,-3,-0.5,0.0,0,2.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,アンドローゼス,3,4,4.0,11.3,7,11,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,クラウドセイル,10,5,3.5,31.9,9,9,0,0.0,0,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,ケイツークローン,8,6,2.5,9.6,6,6,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,グランツローゼ,11,7,2.0,177.3,12,5,0,0.0,0,0,2,0,0.0,1.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,マイネルアレス,6,8,1.5,6.9,4,2,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,レゼールドラペ,12,9,1.5,68.9,10,7,0,0.0,0,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,ナムラブーニン,5,10,0.5,15.8,8,3,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,スターエンブレム,1,11,0.5,8.6,5,12,0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,-3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,サンピアノソナタ,2,12,-3.5,158.5,11,10,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-3,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,タンテドヴィーヴル,7,1,8.5,1.4,1,1,0,0.0,0,0,2,1,1.0,0.0,2.0,0.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,ボナペティアスク,1,2,7.0,60.4,7,8,0,0.0,2,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,アンビアンス,8,3,4.0,22.8,5,6,0,0.0,0,0,2,0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,-1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,ジェロニモス,6,4,3.0,7.1,3,5,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,サラコスティ,4,5,2.5,3.5,2,2,0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,-1,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,レイデラティエラ,5,6,1.5,19.4,4,3,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,テレプシコーラ,3,7,0.5,25.3,6,7,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,ヴェストラン,2,8,-0.5,145.5,8,4,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,1.0,0.0,-3,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
